Table: Table_1

,Monday ,Tuesday ,Wednesday ,Thursday ,Friday ,Saturday ,Sunday ,
8am ,,,,,,,,
,,,,,,,,
,,ECSE 250-001 ,,ECSE 250-001 ,,,,
,,6647 2 times 1.5 hrs/wk ,,6647 2 times 1.5 hrs/wk ,,,,
9am ,,8:35 am-9:55 am McConnell Engineering Building 304 ,,8:35 am-9:55 am McConnell Engineering Building 304 ,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
10am ,,ECSE 222-001 ,,ECSE 222-001 ,,,,
,,2061 2 times 1.5 hrs/wk ,,2061 2 times 1.5 hrs/wk ,,,,
,ECSE 200-001 ,10:05 am-11:25 am ,ECSE 200-001 ,10:05 am-11:25 am ,ECSE 200-001 ,,,
,2039 3 times 1 hr/wk ,Maass Chemistry Building 112 ,2039 3 times 1 hr/wk ,Maass Chemistry Building 112 ,2039 3 times 1 hr/wk ,,,
11am ,10:35 am-11:25 am ,,10:35 am-11:25 am ,,10:35 am-11:25 am ,,,
,Strathcona Anatomy & Dentistry 2/36 ,,Strathcona Anatomy & Dentistry 2/36 ,,Strathcona Anatomy & Dentistry 2/36 ,,,
,FACC 100-002 ,,,,ECSE 200-001 ,,,
,2655 1 times 1.5 hrs/wk ,,,,2039 1 times 1 hr/wk ,,,
12pm ,11:35 am-12:55 pm Leacock 26 ,,,,11:35 am-12:25 pm Strathcona & 2/36 ,,,
,Building ,,,,Anatomy Dentistry ,,,
,,,,,,,,
,,,,,,,,
1pm ,,COMP 206-001 ,,COMP 206-001 ,,,,
,,1860 2 times 1.5 hrs/wk ,,1860 2 times 1.5 hrs/wk ,,,,
,ECSE 200-002 ,1:05 pm-2:25 pm ,ECSE 222-004 ,1:05 pm-2:25pm ,,,,
,2040 ,McIntyre Medical Building 52 ,2064 ,McIntyre Medical Building 522 ,,,,
2pm ,1:35 pm-3:25pm 1030 ,,1:35 pm-3:25 pm 1030 ,,,,,
,Wong Building ,,Wong Building ,,,,,
,,,,,,,,
,,,,,,,,
3pm ,,,,,,,,
,,,,,,,,
,,,ECSE 250-003 ,,,,,
,,,6649 1 times 2 hrs/wk ,,,,,
4pm ,,MATH 240-002 ,3:35 pm-5:25 pm McConnell ,MATH 240-002 ,,,,
,,3146 2 times 1.5 hrs/wk ,Engineering Building 11 ,3146 2 times 1.5 hrs/wk ,,,,
,,4:05 pm-5:25 pm ,,4:05 pm-5:25 pm ,,,,
,,Maass Chemistry Building 112 ,,Maass Chemistry Building 112 ,,,,
5pm ,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,





